candidate,dimension,stratum,n_runners,n_races,n_wins,actual_rate,mean_prob,calibration_gap,ae,brier,race_log_loss
indep_only__none,regime,all_weather / sprint(<7f),355,40,40,0.11267605633802817,0.11267605633802817,0.0,1.0,0.09328539836775984,1.9352808236282648
indep_only__none,regime,all_weather / staying(>=12f),207,23,23,0.1111111111111111,0.1111111111111111,0.0,1.0,0.09815951011623261,2.117354629052907
indep_only__none,regime,turf / middle(9.5-12f),306,40,41,0.13398692810457516,0.13071895424836602,0.0032679738562091387,1.025,0.10644403736777129,1.82272942505952
indep_only__none,regime,turf / mile(7-9.5f),1284,139,139,0.10825545171339564,0.10825545171339564,0.0,1.0,0.08766423525502705,1.90377591600031
indep_only__none,regime,turf / sprint(<7f),1145,115,115,0.10043668122270742,0.10043668122270742,0.0,1.0,0.08485223212109601,2.0476093451031243
indep_only__none,regime,turf / staying(>=12f),1524,184,184,0.12073490813648294,0.12073490813648294,0.0,1.0,0.09798425928800422,1.8765168885764547
indep_only__none,region,IRE,1818,175,175,0.09625962596259625,0.09625962596259625,0.0,1.0,0.0806528907224572,2.0506806817291046
indep_only__none,region,UK,3743,443,444,0.11862142666310446,0.11835426128773711,0.0002671653753673481,1.002257336343115,0.0959139224535335,1.8703502883692906
indep_only__none,selected_bet,EV<0.05,2383,614,443,0.1859001258917331,0.12262161741265595,0.06327850847907715,1.5160469239785617,0.14446651077385925,
indep_only__none,selected_bet,EV>=0.05,3178,617,176,0.05538074260541221,0.10251500494198895,-0.04713426233657674,0.5402208451021486,0.05077692633823049,
indep_only__none,overall,ALL,5561,618,619,0.11131091530300306,0.1111310915303003,0.0001798237727027585,1.0016181229773464,0.0909247917779182,
indep_only__odds_band,odds_band,11.0-21.0,1083,486,70,0.06463527239150507,0.059404748744986635,0.005230523646518437,1.0880489145568495,0.05996692855910079,
indep_only__odds_band,odds_band,2.0-3.0,220,194,97,0.4409090909090909,0.36168900583522295,0.07922008507386796,1.2190281811052857,0.2508332278467771,
indep_only__odds_band,odds_band,21.0-51.0,981,455,30,0.03058103975535168,0.0396965571821194,-0.009115517426767722,0.7703700755471651,0.02982441489925772,
indep_only__odds_band,odds_band,3.0-5.0,678,422,159,0.2345132743362832,0.24873854919437532,-0.014225274858092135,0.9428103327603802,0.17754025375681698,
indep_only__odds_band,odds_band,5.0-8.0,901,478,138,0.15316315205327413,0.15762076075331602,-0.004457608700041887,0.9717194062588097,0.129354181256027,
indep_only__odds_band,odds_band,51.0+,1008,363,3,0.002976190476190476,0.009663912355196903,-0.006687721879006427,0.3079695227771792,0.00313169409449065,
indep_only__odds_band,odds_band,8.0-11.0,583,368,65,0.11149228130360206,0.1058349542615218,0.00565732704208026,1.0534542399678353,0.09826519351332424,
indep_only__odds_band,odds_band,<2.0 (odds-on),107,107,57,0.5327102803738317,0.4957636397078639,0.03694664066596781,1.0745247083625156,0.24330646919082166,
indep_only__odds_band,field_size,12-15,1394,110,110,0.07890961262553801,0.07890961262553801,0.0,1.0,0.06485011576460936,1.9961821094209384
indep_only__odds_band,field_size,16+,711,41,41,0.057665260196905765,0.057665260196905765,0.0,1.0,0.04914585189155557,2.537583129526284
indep_only__odds_band,field_size,2-5,391,92,92,0.23529411764705882,0.23529411764705882,0.0,1.0,0.1549019183417093,1.2418803160099186
indep_only__odds_band,field_size,6-8,1392,202,203,0.14583333333333334,0.14511494252873564,0.0007183908045977072,1.004950495049505,0.11005708856588972,1.6298568459656666
indep_only__odds_band,field_size,9-11,1673,173,173,0.10340705319784818,0.10340705319784818,0.0,1.0,0.07990132837633919,1.765209743647109
indep_only__odds_band,regime,all_weather / middle(9.5-12f),131,14,14,0.10687022900763359,0.10687022900763359,0.0,1.0,0.0865650747564512,1.8564583628890208
indep_only__odds_band,regime,all_weather / mile(7-9.5f),609,63,63,0.10344827586206896,0.10344827586206896,0.0,1.0,0.0733487478981756,1.582712273239729
indep_only__odds_band,regime,all_weather / sprint(<7f),355,40,40,0.11267605633802817,0.11267605633802817,0.0,1.0,0.08649792064224796,1.698304235231582
indep_only__odds_band,regime,all_weather / staying(>=12f),207,23,23,0.1111111111111111,0.1111111111111111,0.0,1.0,0.08745968353053385,1.7777469287299452
indep_only__odds_band,regime,turf / middle(9.5-12f),306,40,41,0.13398692810457516,0.13071895424836602,0.0032679738562091387,1.025,0.09904818379442222,1.6763235121175206
indep_only__odds_band,regime,turf / mile(7-9.5f),1284,139,139,0.10825545171339564,0.10825545171339564,0.0,1.0,0.08341458910161946,1.7119570698931064
indep_only__odds_band,regime,turf / sprint(<7f),1145,115,115,0.10043668122270742,0.10043668122270742,0.0,1.0,0.07748918053554846,1.7877135889365028
indep_only__odds_band,regime,turf / staying(>=12f),1524,184,184,0.12073490813648294,0.12073490813648294,0.0,1.0,0.09306186670408503,1.779144690019926
indep_only__odds_band,region,IRE,1818,175,175,0.09625962596259625,0.09625962596259625,0.0,1.0,0.07614158120360803,1.8993964341928
indep_only__odds_band,region,UK,3743,443,444,0.11862142666310446,0.11835426128773711,0.0002671653753673481,1.002257336343115,0.08932925652459103,1.6706363927134718
indep_only__odds_band,selected_bet,EV<0.05,4015,599,503,0.12528019925280198,0.1190446666819887,0.0062355325708132875,1.0523797726064508,0.09426427207380146,
indep_only__odds_band,selected_bet,EV>=0.05,1546,494,116,0.07503234152652005,0.09057934234916908,-0.015547000822649024,0.8283604139813934,0.06100501256364225,
indep_only__odds_band,overall,ALL,5561,618,619,0.11131091530300306,0.1111310915303003,0.0001798237727027585,1.0016181229773464,0.08501794673614525,
combined_indep_forced__none,odds_band,11.0-21.0,1083,486,70,0.06463527239150507,0.06187940393310622,0.002755868458398855,1.044536118372731,0.059786913449568414,
combined_indep_forced__none,odds_band,2.0-3.0,220,194,97,0.4409090909090909,0.3882718946073527,0.05263719630173824,1.1355678766163815,0.2425312286285122,
combined_indep_forced__none,odds_band,21.0-51.0,981,455,30,0.03058103975535168,0.02990330261116354,0.0006777371441881418,1.022664290730721,0.02956797624566424,
combined_indep_forced__none,odds_band,3.0-5.0,678,422,159,0.2345132743362832,0.2449381636266882,-0.010424889290404998,0.9574386892754955,0.17857805608429203,
combined_indep_forced__none,odds_band,5.0-8.0,901,478,138,0.15316315205327413,0.15101212462812647,0.002151027425147667,1.014244071000555,0.1288761786485442,
combined_indep_forced__none,odds_band,51.0+,1008,363,3,0.002976190476190476,0.007704872559582451,-0.004728682083391975,0.3862738096153227,0.0029901652600457045,
combined_indep_forced__none,odds_band,8.0-11.0,583,368,65,0.11149228130360206,0.10189893340111632,0.009593347902485741,1.0941457146045126,0.0988426466097967,
combined_indep_forced__none,odds_band,<2.0 (odds-on),107,107,57,0.5327102803738317,0.6254771955470143,-0.09276691517318258,0.8516861752376874,0.24326687787520135,
combined_indep_forced__none,field_size,12-15,1394,110,110,0.07890961262553801,0.07890961262553801,0.0,1.0,0.06508312764598104,2.0037933393440044
combined_indep_forced__none,field_size,16+,711,41,41,0.057665260196905765,0.057665260196905765,0.0,1.0,0.04782129570013441,2.1731481024758716
combined_indep_forced__none,field_size,2-5,391,92,92,0.23529411764705882,0.23529411764705882,0.0,1.0,0.15452401138395425,1.2288368157562992
combined_indep_forced__none,field_size,6-8,1392,202,203,0.14583333333333334,0.14511494252873564,0.0007183908045977072,1.004950495049505,0.10983780189022535,1.6202902372109103
combined_indep_forced__none,field_size,9-11,1673,173,173,0.10340705319784818,0.10340705319784818,0.0,1.0,0.07945882658297157,1.7474447262900656
combined_indep_forced__none,regime,all_weather / middle(9.5-12f),131,14,14,0.10687022900763359,0.10687022900763359,0.0,1.0,0.08909293088233101,1.8463497374969138
combined_indep_forced__none,regime,all_weather / mile(7-9.5f),609,63,63,0.10344827586206896,0.10344827586206896,0.0,1.0,0.07188236725267545,1.5474085359499434
combined_indep_forced__none,regime,all_weather / sprint(<7f),355,40,40,0.11267605633802817,0.11267605633802817,0.0,1.0,0.08564309139176504,1.7206929207816377
combined_indep_forced__none,regime,all_weather / staying(>=12f),207,23,23,0.1111111111111111,0.1111111111111111,0.0,1.0,0.08757169131245301,1.766763790250222
combined_indep_forced__none,regime,turf / middle(9.5-12f),306,40,41,0.13398692810457516,0.13071895424836602,0.0032679738562091387,1.025,0.09808688081318348,1.6612460054248195
combined_indep_forced__none,regime,turf / mile(7-9.5f),1284,139,139,0.10825545171339564,0.10825545171339564,0.0,1.0,0.08406312189153502,1.7124452087275086
combined_indep_forced__none,regime,turf / sprint(<7f),1145,115,115,0.10043668122270742,0.10043668122270742,0.0,1.0,0.07685456611275972,1.7669434116723224
combined_indep_forced__none,regime,turf / staying(>=12f),1524,184,184,0.12073490813648294,0.12073490813648294,0.0,1.0,0.09255004025723772,1.6940149862742313
combined_indep_forced__none,region,IRE,1818,175,175,0.09625962596259625,0.09625962596259625,0.0,1.0,0.07536876172938452,1.8121047130836256
combined_indep_forced__none,region,UK,3743,443,444,0.11862142666310446,0.11835426128773711,0.0002671653753673481,1.002257336343115,0.08922098261098137,1.6592721610701615
combined_indep_forced__none,selected_bet,EV<0.05,5192,590,557,0.1072804314329738,0.10690727198646137,0.00037315944651243604,1.0034904963860616,0.08203774819418949,
combined_indep_forced__none,selected_bet,EV>=0.05,369,118,62,0.16802168021680217,0.1705621784452375,-0.0025404982284353284,0.9851051490336645,0.122044872934126,
combined_indep_forced__none,overall,ALL,5561,618,619,0.11131091530300306,0.1111310915303003,0.0001798237727027585,1.0016181229773464,0.084692419841202,
combined_market__none,odds_band,11.0-21.0,1083,486,70,0.06463527239150507,0.06298949246595184,0.0016457799255532313,1.0261278486478176,0.05984251367963908,
combined_market__none,odds_band,2.0-3.0,220,194,97,0.4409090909090909,0.38473008715716317,0.05617900375192775,1.146021862150278,0.24296850801249062,
combined_market__none,odds_band,21.0-51.0,981,455,30,0.03058103975535168,0.03083048471927617,-0.0002494449639244903,0.9919091455682327,0.02959423115048345,
combined_market__none,odds_band,3.0-5.0,678,422,159,0.2345132743362832,0.2428484060831443,-0.008335131746861124,0.9656776345321887,0.17887877631736768,
combined_market__none,odds_band,5.0-8.0,901,478,138,0.15316315205327413,0.15056645433170324,0.0025966977215708953,1.0172461902825332,0.12871651511068744,
combined_market__none,odds_band,51.0+,1008,363,3,0.002976190476190476,0.007948969798597171,-0.004972779322406695,0.374412100133493,0.002994519355496397,
combined_market__none,odds_band,8.0-11.0,583,368,65,0.11149228130360206,0.10296962242893727,0.008522658874664787,1.082768671707489,0.09931382791050555,
combined_market__none,odds_band,<2.0 (odds-on),107,107,57,0.5327102803738317,0.6218841949990231,-0.08917391462519142,0.8566068806020525,0.24245915020280062,
combined_market__none,field_size,12-15,1394,110,110,0.07890961262553801,0.07890961262553801,0.0,1.0,0.065134816982388,2.0077330151861212
combined_market__none,field_size,16+,711,41,41,0.057665260196905765,0.057665260196905765,0.0,1.0,0.04782780245447062,2.170557187617481
combined_market__none,field_size,2-5,391,92,92,0.23529411764705882,0.23529411764705882,0.0,1.0,0.15439500693451946,1.230754518603431
combined_market__none,field_size,6-8,1392,202,203,0.14583333333333334,0.14511494252873564,0.0007183908045977072,1.004950495049505,0.11015115168914624,1.624053911644139
combined_market__none,field_size,9-11,1673,173,173,0.10340705319784818,0.10340705319784818,0.0,1.0,0.07944235401489814,1.7493688083324952
combined_market__none,regime,all_weather / middle(9.5-12f),131,14,14,0.10687022900763359,0.10687022900763359,0.0,1.0,0.08909724968949098,1.8387569506772483
combined_market__none,regime,all_weather / mile(7-9.5f),609,63,63,0.10344827586206896,0.10344827586206896,0.0,1.0,0.07241408464323701,1.5610745362294502
combined_market__none,regime,all_weather / sprint(<7f),355,40,40,0.11267605633802817,0.11267605633802817,0.0,1.0,0.0860524174395528,1.730093742847642
combined_market__none,regime,all_weather / staying(>=12f),207,23,23,0.1111111111111111,0.1111111111111111,0.0,1.0,0.08689810656182452,1.7463254202971092
combined_market__none,regime,turf / middle(9.5-12f),306,40,41,0.13398692810457516,0.13071895424836602,0.0032679738562091387,1.025,0.09829163388497329,1.6616197339720984
combined_market__none,regime,turf / mile(7-9.5f),1284,139,139,0.10825545171339564,0.10825545171339564,0.0,1.0,0.08418017438016191,1.7172937179300203
combined_market__none,regime,turf / sprint(<7f),1145,115,115,0.10043668122270742,0.10043668122270742,0.0,1.0,0.07691910172444534,1.7663636574391695
combined_market__none,regime,turf / staying(>=12f),1524,184,184,0.12073490813648294,0.12073490813648294,0.0,1.0,0.0924304610855496,1.6957207708619904
combined_market__none,region,IRE,1818,175,175,0.09625962596259625,0.09625962596259625,0.0,1.0,0.07534530765308776,1.8132846920527836
combined_market__none,region,UK,3743,443,444,0.11862142666310446,0.11835426128773711,0.0002671653753673481,1.002257336343115,0.08934855523240108,1.662410304647193
combined_market__none,selected_bet,EV<0.05,5208,584,566,0.108678955453149,0.1091187680396214,-0.0004398125864723962,0.995969413929667,0.08307382303456767,
combined_market__none,selected_bet,EV>=0.05,353,66,53,0.1501416430594901,0.14081998880921182,0.009321654250278283,1.0661955332414321,0.10980436596079973,
combined_market__none,overall,ALL,5561,618,619,0.11131091530300306,0.11113109153030033,0.00017982377270273076,1.0016181229773462,0.0847706188721796,
combined_market__sigmoid,odds_band,11.0-21.0,1083,486,70,0.06463527239150507,0.06211749647260677,0.0025177759188983045,1.0405324757414944,0.05985123498415998,
combined_market__sigmoid,odds_band,2.0-3.0,220,194,97,0.4409090909090909,0.3883019724211437,0.05260711848794719,1.1354799156953308,0.24260639104335124,
combined_market__sigmoid,odds_band,21.0-51.0,981,455,30,0.03058103975535168,0.029986911816291133,0.0005941279390605479,1.0198129084682128,0.029593650793130737,
combined_market__sigmoid,odds_band,3.0-5.0,678,422,159,0.2345132743362832,0.2444076368033918,-0.00989436246710862,0.9595169668324729,0.1789248953026795,
combined_market__sigmoid,odds_band,5.0-8.0,901,478,138,0.15316315205327413,0.15074010786384107,0.0024230441894330657,1.0160743164096826,0.1287377165280502,
combined_market__sigmoid,odds_band,51.0+,1008,363,3,0.002976190476190476,0.007558269068372529,-0.004582078592182053,0.39376614529962994,0.002990244943587347,
combined_market__sigmoid,odds_band,8.0-11.0,583,368,65,0.11149228130360206,0.10241937316388845,0.009072908139713606,1.0885858588999116,0.09931718658029157,
combined_market__sigmoid,odds_band,<2.0 (odds-on),107,107,57,0.5327102803738317,0.6264365624509036,-0.0937262820770719,0.8503818459919193,0.24281742328111425,
combined_market__sigmoid,field_size,12-15,1394,110,110,0.07890961262553801,0.07890961262553801,0.0,1.0,0.06513769960753174,2.0073622099298625
combined_market__sigmoid,field_size,16+,711,41,41,0.057665260196905765,0.057665260196905765,0.0,1.0,0.04778778145190876,2.1674329891015054
combined_market__sigmoid,field_size,2-5,391,92,92,0.23529411764705882,0.23529411764705882,0.0,1.0,0.15452882365728338,1.2324132647800614
combined_market__sigmoid,field_size,6-8,1392,202,203,0.14583333333333334,0.14511494252873564,0.0007183908045977072,1.004950495049505,0.11017450221537335,1.6247052575584275
combined_market__sigmoid,field_size,9-11,1673,173,173,0.10340705319784818,0.10340705319784818,0.0,1.0,0.07941556158036767,1.7479331905543445
combined_market__sigmoid,regime,all_weather / middle(9.5-12f),131,14,14,0.10687022900763359,0.10687022900763359,0.0,1.0,0.08913708445461592,1.8378985267751164
combined_market__sigmoid,regime,all_weather / mile(7-9.5f),609,63,63,0.10344827586206896,0.10344827586206896,0.0,1.0,0.07237029241684283,1.5590345929216427
combined_market__sigmoid,regime,all_weather / sprint(<7f),355,40,40,0.11267605633802817,0.11267605633802817,0.0,1.0,0.08604170511178479,1.7299171195680985
combined_market__sigmoid,regime,all_weather / staying(>=12f),207,23,23,0.1111111111111111,0.1111111111111111,0.0,1.0,0.08686912768458606,1.7466812621241337
combined_market__sigmoid,regime,turf / middle(9.5-12f),306,40,41,0.13398692810457516,0.13071895424836602,0.0032679738562091387,1.025,0.09824924022384574,1.6622495954286687
combined_market__sigmoid,regime,turf / mile(7-9.5f),1284,139,139,0.10825545171339564,0.10825545171339564,0.0,1.0,0.08422898109261963,1.7170168193345388
combined_market__sigmoid,regime,turf / sprint(<7f),1145,115,115,0.10043668122270742,0.10043668122270742,0.0,1.0,0.07687656693872497,1.76543590953383
combined_market__sigmoid,regime,turf / staying(>=12f),1524,184,184,0.12073490813648294,0.12073490813648294,0.0,1.0,0.09246053035163623,1.6964073704151306
combined_market__sigmoid,region,IRE,1818,175,175,0.09625962596259625,0.09625962596259625,0.0,1.0,0.07533962933529531,1.8132628359258274
combined_market__sigmoid,region,UK,3743,443,444,0.11862142666310446,0.11835426128773711,0.0002671653753673481,1.002257336343115,0.08935547191861931,1.662118563681482
combined_market__sigmoid,selected_bet,EV<0.05,5230,586,563,0.10764818355640535,0.10791179032156491,-0.0002636067651595603,0.9975572014478303,0.08276720651948208,
combined_market__sigmoid,selected_bet,EV>=0.05,331,74,56,0.1691842900302115,0.16199799582542476,0.007186294204786725,1.044360389572541,0.1164727716799628,
combined_market__sigmoid,overall,ALL,5561,618,619,0.11131091530300306,0.1111310915303003,0.0001798237727027585,1.0016181229773464,0.08477341800448822,
