source,race_id,venue,race_time,market_id,market_name,validation_status,runners,unique_selections,booksum
livescorebet,SBTE_2_1028491112,York,2026-07-25 15:17:00+00:00,SBTM_2_1028491112_1001558122_0,To win,VALID,10,10,1.183310480369304
livescorebet,SBTE_2_1028491113,York,2026-07-25 14:42:00+00:00,SBTM_2_1028491113_1001558122_0,To win,VALID,6,6,1.120526532291238
livescorebet,SBTE_2_1028491114,York,2026-07-25 13:00:00+00:00,SBTM_2_1028491114_1001558122_0,To win,VALID,21,21,1.3763571815413116
livescorebet,SBTE_2_1028491115,York,2026-07-25 13:35:00+00:00,SBTM_2_1028491115_1001558122_0,To win,VALID,5,5,1.0851131943533936
livescorebet,SBTE_2_1028491116,York,2026-07-25 15:52:00+00:00,SBTM_2_1028491116_1001558122_0,To win,VALID,15,15,1.2842394768365
livescorebet,SBTE_2_1028491117,York,2026-07-25 12:30:00+00:00,SBTM_2_1028491117_1001558122_0,To win,VALID,17,17,1.4459191262921751
livescorebet,SBTE_2_1028491118,York,2026-07-25 14:05:00+00:00,SBTM_2_1028491118_1001558122_0,To win,VALID,16,16,1.3772680950592768
livescorebet,SBTE_2_1028491119,Ascot,2026-07-25 15:10:00+00:00,SBTM_2_1028491119_1001558122_0,To win,VALID,15,15,1.3043980963576083
livescorebet,SBTE_2_1028491120,Ascot,2026-07-25 12:10:00+00:00,SBTM_2_1028491120_1001558122_0,To win,VALID,9,9,1.1835937540271906
livescorebet,SBTE_2_1028491121,Ascot,2026-07-25 14:35:00+00:00,SBTM_2_1028491121_1001558122_0,To win,VALID,9,9,1.135098698004756
livescorebet,SBTE_2_1028491122,Ascot,2026-07-25 12:45:00+00:00,SBTM_2_1028491122_1001558122_0,To win,VALID,11,11,1.175991920965582
livescorebet,SBTE_2_1028491123,Ascot,2026-07-25 16:20:00+00:00,SBTM_2_1028491123_1001558122_0,To win,VALID,14,14,1.2781646686103127
livescorebet,SBTE_2_1028491124,Ascot,2026-07-25 13:20:00+00:00,SBTM_2_1028491124_1001558122_0,To win,VALID,8,8,1.1628927544219898
livescorebet,SBTE_2_1028491125,Ascot,2026-07-25 15:45:00+00:00,SBTM_2_1028491125_1001558122_0,To win,VALID,11,11,1.1820445464408313
livescorebet,SBTE_2_1028491126,Ascot,2026-07-25 13:55:00+00:00,SBTM_2_1028491126_1001558122_0,To win,VALID,16,16,1.389276460350199
livescorebet,SBTE_2_1028491127,Chester,2026-07-25 12:53:00+00:00,SBTM_2_1028491127_1001558122_0,To win,VALID,10,10,1.1885588395201236
livescorebet,SBTE_2_1028491128,Chester,2026-07-25 15:23:00+00:00,SBTM_2_1028491128_1001558122_0,To win,VALID,11,11,1.2163581516522695
livescorebet,SBTE_2_1028491129,Chester,2026-07-25 14:48:00+00:00,SBTM_2_1028491129_1001558122_0,To win,VALID,7,7,1.1629187868631565
livescorebet,SBTE_2_1028491130,Chester,2026-07-25 13:28:00+00:00,SBTM_2_1028491130_1001558122_0,To win,VALID,8,8,1.1592556868418937
livescorebet,SBTE_2_1028491131,Chester,2026-07-25 16:33:00+00:00,SBTM_2_1028491131_1001558122_0,To win,VALID,11,11,1.2428130943043256
livescorebet,SBTE_2_1028491132,Chester,2026-07-25 14:10:00+00:00,SBTM_2_1028491132_1001558122_0,To win,VALID,6,6,1.1299599920949865
livescorebet,SBTE_2_1028491133,Chester,2026-07-25 15:58:00+00:00,SBTM_2_1028491133_1001558122_0,To win,VALID,7,7,1.1290557663106682
livescorebet,SBTE_2_1028491134,Salisbury,2026-07-25 18:45:00+00:00,SBTM_2_1028491134_1001558122_0,To win,VALID,4,4,1.16044061302682
